Category,Type,All,Proportion (%),Recognition Rate (%)
Particular Social Group - Gender-based/Domestic Violence,All,14300,100,70
Particular Social Group - Gender-based/Domestic Violence,Domestic violence,5380,38,72
Particular Social Group - Gender-based/Domestic Violence,Female - Other,2900,20,78
Particular Social Group - Gender-based/Domestic Violence,Non-domestic sexual violence,2380,17,73
Particular Social Group - Gender-based/Domestic Violence,Forced marriage,1940,14,75
Particular Social Group - Gender-based/Domestic Violence,Female Genital Mutilation (FGM),1840,13,47
Particular Social Group - Gender-based/Domestic Violence,Male - Other,340,2,53
Particular Social Group - Gender-based/Domestic Violence,Honor Crime,320,2,73
Particular Social Group - Gender-based/Domestic Violence,Child Abuse,120,1,73
Particular Social Group - Gender-based/Domestic Violence,Widowhood rites,80,1,52
Particular Social Group - Gender-based/Domestic Violence,Female - Honour killing,60,0,75
Particular Social Group - Gender-based/Domestic Violence,Forced prostitution,40,0,66
Particular Social Group - Gender-based/Domestic Violence,Sexual harassment,20,0,42
