Category,Country_Persecution,All,Proportion (%),Recognition Rate (%)
Particular Social Group - Sexual Orientation,All,12760,100,77
Particular Social Group - Sexual Orientation,Nigeria,3420,27,67
Particular Social Group - Sexual Orientation,Uganda,680,5,85
Particular Social Group - Sexual Orientation,Jamaica,580,5,75
Particular Social Group - Sexual Orientation,Cameroon,500,4,78
Particular Social Group - Sexual Orientation,Ghana,420,3,58
Particular Social Group - Sexual Orientation,Turkey,420,3,94
Particular Social Group - Sexual Orientation,Kenya,380,3,77
Particular Social Group - Sexual Orientation,India,360,3,72
Particular Social Group - Sexual Orientation,Ukraine,360,3,85
Particular Social Group - Sexual Orientation,Pakistan,340,3,82
Particular Social Group - Sexual Orientation,Bahamas,340,3,94
Particular Social Group - Sexual Orientation,Iran,340,3,95
Particular Social Group - Sexual Orientation,Mexico,300,2,78
Particular Social Group - Sexual Orientation,Haiti,300,2,68
Particular Social Group - Sexual Orientation,Rwanda,220,2,93
Particular Social Group - Sexual Orientation,Senegal,220,2,68
Particular Social Group - Sexual Orientation,Russia,200,2,95
Particular Social Group - Sexual Orientation,Barbados,180,1,93
Particular Social Group - Sexual Orientation,Albania,180,1,75
Particular Social Group - Sexual Orientation,Tanzania,180,1,71
Particular Social Group - Sexual Orientation,Algeria,120,1,86
Particular Social Group - Sexual Orientation,"Congo, DRC",100,1,70
Particular Social Group - Sexual Orientation,Colombia,100,1,92
Particular Social Group - Sexual Orientation,Venezuela,100,1,94
Particular Social Group - Sexual Orientation,Zimbabwe,100,1,87
Particular Social Group - Sexual Orientation,Mali,100,1,64
Particular Social Group - Sexual Orientation,Guinea,80,1,66
Particular Social Group - Sexual Orientation,Lebanon,80,1,97
Particular Social Group - Sexual Orientation,Ivory Coast,60,1,82
Particular Social Group - Sexual Orientation,Saint Lucia,60,1,62
Particular Social Group - Sexual Orientation,Saudi Arabia,60,1,97
Particular Social Group - Sexual Orientation,Georgia,60,1,74
Particular Social Group - Sexual Orientation,Mongolia,60,1,81
Particular Social Group - Sexual Orientation,Brazil,60,0,75
Particular Social Group - Sexual Orientation,Sri Lanka,60,0,85
Particular Social Group - Sexual Orientation,Bangladesh,60,0,87
Particular Social Group - Sexual Orientation,Togo,60,0,89
Particular Social Group - Sexual Orientation,Jordan,60,0,94
Particular Social Group - Sexual Orientation,Egypt,60,0,96
Particular Social Group - Sexual Orientation,Saint Vincent,40,0,54
Particular Social Group - Sexual Orientation,Antigua and Barbuda,40,0,69
Particular Social Group - Sexual Orientation,Chad,40,0,98
Particular Social Group - Sexual Orientation,Gambia,40,0,72
Particular Social Group - Sexual Orientation,Tunisia,40,0,84
Particular Social Group - Sexual Orientation,Hungary,40,0,63
Particular Social Group - Sexual Orientation,Ethiopia,40,0,93
Particular Social Group - Sexual Orientation,Dominican Republic,40,0,91
Particular Social Group - Sexual Orientation,Burundi,40,0,93
Particular Social Group - Sexual Orientation,Mauritania,40,0,85
Particular Social Group - Sexual Orientation,Morocco,40,0,97
Particular Social Group - Sexual Orientation,Indonesia,40,0,100
Particular Social Group - Sexual Orientation,China,40,0,68
Particular Social Group - Sexual Orientation,Benin,40,0,84
Particular Social Group - Sexual Orientation,Peru,20,0,96
Particular Social Group - Sexual Orientation,Poland,20,0,56
Particular Social Group - Sexual Orientation,Kosovo,20,0,60
Particular Social Group - Sexual Orientation,Iraq,20,0,92
Particular Social Group - Sexual Orientation,Djibouti,20,0,91
Particular Social Group - Sexual Orientation,Guyana,20,0,100
Particular Social Group - Sexual Orientation,Yemen,20,0,100
Particular Social Group - Sexual Orientation,El Salvador,20,0,86
Particular Social Group - Sexual Orientation,Trinidad and Tobago,20,0,92
Particular Social Group - Sexual Orientation,Chile,20,0,77
Particular Social Group - Sexual Orientation,Burkina Faso,20,0,71
Particular Social Group - Sexual Orientation,Syria,20,0,95
Particular Social Group - Sexual Orientation,Croatia,20,0,18
Particular Social Group - Sexual Orientation,Sudan,20,0,83
Particular Social Group - Sexual Orientation,Honduras,20,0,78
Particular Social Group - Sexual Orientation,Azerbaijan,20,0,94
Particular Social Group - Sexual Orientation,Kazakhstan,20,0,100
Particular Social Group - Sexual Orientation,South Africa,20,0,53
Particular Social Group - Sexual Orientation,Korea R. (South),20,0,69
Particular Social Group - Sexual Orientation,Philippines,20,0,67
Particular Social Group - Sexual Orientation,Malawi,20,0,94
Particular Social Group - Sexual Orientation,United States of America,20,0,0
Particular Social Group - Sexual Orientation,Palestine,20,0,100
Particular Social Group - Sexual Orientation,Zambia,20,0,86
Particular Social Group - Sexual Orientation,Angola,20,0,54
Particular Social Group - Sexual Orientation,Cuba,20,0,89
Particular Social Group - Sexual Orientation,Belarus(Byelorussia),20,0,100
Particular Social Group - Sexual Orientation,Liberia,20,0,67
Particular Social Group - Sexual Orientation,Congo (Brazzaville),20,0,92
Particular Social Group - Sexual Orientation,Somalia,20,0,80
Particular Social Group - Sexual Orientation,Niger,20,0,67
Particular Social Group - Sexual Orientation,Sierra Leone,20,0,45
Particular Social Group - Sexual Orientation,Guatemala,20,0,92
Particular Social Group - Sexual Orientation,Romania,20,0,60
