Category,Type,All,Proportion (%),Recognition Rate (%)
Religion,All,18580,100,78
Religion,Christian,5080,27,75
Religion,Varied/Other,3400,18,70
Religion,Apostasy,2080,11,97
Religion,Ahmadi (unspecified),1100,6,98
Religion,Muslim - Sunni,960,5,93
Religion,Christian - Coptic,860,5,97
Religion,Shia Muslim,700,4,71
Religion,Muslim - Shia,680,4,68
Religion,Muslim,480,3,65
Religion,Christian - Unregistered/underground church,400,2,71
Religion,Chieftaincy Issues,320,2,24
Religion,Atheist/Agnostic/non practicing,320,2,91
Religion,Pentecostal,280,2,88
Religion,Traditional,260,1,35
Religion,Alevi,260,1,81
Religion,Rituals/Witchcraft/Traditional practices,220,1,48
Religion,Inter-faith Marriage/Relationship,200,1,60
Religion,Bahai,180,1,97
Religion,Hindu,180,1,75
Religion,Ahmadi (Lahori),160,1,97
Religion,Buddhist,140,1,79
Religion,Sikh,140,1,27
Religion,Sunni - majority or minority sect,120,1,98
Religion,Christian - Other,100,1,88
Religion,Christian - Church of Almighty God,80,0,85
Religion,Ahmadi (Qadiani),80,0,97
Religion,Fetish Priest issues,40,0,23
Religion,Erfan Keyhani/Erfan Halgheh/Interuniversalism,40,0,100
Religion,Sunni Muslim,40,0,42
Religion,Sufi,40,0,86
Religion,Dera Sasha Sauda,20,0,6
Religion,Ahmadi,20,0,73
Religion,Shia - majority or minority sect,20,0,91
Religion,Jehovah’s Witness,20,0,100
