Category,Country_Persecution,All,Proportion (%),Recognition Rate (%)
Religion,All,18580,100,78
Religion,Iran,4160,22,95
Religion,Pakistan,3020,16,82
Religion,China,2140,12,62
Religion,Nigeria,1360,7,33
Religion,Iraq,1180,6,89
Religion,Syria,1100,6,97
Religion,Egypt,1000,5,97
Religion,India,540,3,37
Religion,Eritrea,460,2,87
Religion,Turkey,360,2,82
Religion,Bangladesh,340,2,78
Religion,Somalia,320,2,68
Religion,Yemen,240,1,96
Religion,Algeria,200,1,70
Religion,Afghanistan,180,1,88
Religion,Lebanon,160,1,55
Religion,Saudi Arabia,160,1,94
Religion,Sri Lanka,140,1,76
Religion,Jordan,140,1,66
Religion,Russia,100,0,81
Religion,Ghana,80,0,21
Religion,Sudan,60,0,90
Religion,Haiti,60,0,28
Religion,Libya,60,0,96
Religion,Palestine,60,0,84
Religion,Ethiopia,40,0,64
Religion,Angola,40,0,55
Religion,"Congo, DRC",40,0,54
Religion,Morocco,40,0,52
Religion,Kazakhstan,40,0,89
Religion,Ukraine,40,0,47
Religion,Central African Rep,40,0,97
Religion,Tunisia,40,0,40
Religion,Vietnam,20,0,30
Religion,Cameroon,20,0,54
Religion,Azerbaijan,20,0,86
Religion,Kenya,20,0,59
Religion,Senegal,20,0,14
Religion,Indonesia,20,0,54
Religion,United States of America,20,0,0
Religion,Mexico,20,0,30
Religion,Uzbekistan,20,0,73
Religion,Cuba,20,0,55
Religion,Uganda,20,0,74
Religion,Mali,20,0,37
Religion,Liberia,20,0,50
Religion,Nepal,20,0,88
Religion,Guinea,20,0,77
Religion,Mauritania,20,0,75
Religion,Albania,20,0,33
Religion,Bahrain,20,0,86
Religion,Ivory Coast,20,0,38
Religion,Venezuela,20,0,69
Religion,Israel,20,0,23
Religion,Burkina Faso,20,0,69
Religion,"Myanmar, Burma",20,0,100
Religion,Togo,20,0,70
