Category,Country_Persecution,All,Proportion (%),Recognition Rate (%)
Race/Ethnicity/Nationality,All,13580,100,79
Race/Ethnicity/Nationality,Turkey,1580,12,91
Race/Ethnicity/Nationality,Somalia,1320,10,69
Race/Ethnicity/Nationality,Hungary,1100,8,72
Race/Ethnicity/Nationality,Burundi,1080,8,97
Race/Ethnicity/Nationality,Sri Lanka,920,7,86
Race/Ethnicity/Nationality,Ethiopia,820,6,82
Race/Ethnicity/Nationality,China,600,4,84
Race/Ethnicity/Nationality,Romania,460,3,69
Race/Ethnicity/Nationality,Slovakia,400,3,81
Race/Ethnicity/Nationality,Palestine,380,3,85
Race/Ethnicity/Nationality,Lebanon,300,2,82
Race/Ethnicity/Nationality,Ukraine,280,2,75
Race/Ethnicity/Nationality,Afghanistan,260,2,94
Race/Ethnicity/Nationality,India,240,2,45
Race/Ethnicity/Nationality,Eritrea,220,2,95
Race/Ethnicity/Nationality,Yemen,200,1,97
Race/Ethnicity/Nationality,Czech Republic,180,1,67
Race/Ethnicity/Nationality,Iran,160,1,92
Race/Ethnicity/Nationality,Nigeria,160,1,35
Race/Ethnicity/Nationality,Saudi Arabia,140,1,76
Race/Ethnicity/Nationality,Iraq,140,1,71
Race/Ethnicity/Nationality,Syria,140,1,95
Race/Ethnicity/Nationality,Libya,120,1,96
Race/Ethnicity/Nationality,Djibouti,120,1,77
Race/Ethnicity/Nationality,Chad,120,1,75
Race/Ethnicity/Nationality,Sudan,100,1,82
Race/Ethnicity/Nationality,Pakistan,100,1,71
Race/Ethnicity/Nationality,Russia,100,1,76
Race/Ethnicity/Nationality,Jordan,100,1,66
Race/Ethnicity/Nationality,Haiti,100,1,27
Race/Ethnicity/Nationality,"Congo, DRC",100,1,62
Race/Ethnicity/Nationality,Kuwait,100,1,83
Race/Ethnicity/Nationality,Poland,80,1,34
Race/Ethnicity/Nationality,Colombia,80,1,82
Race/Ethnicity/Nationality,Rwanda,80,1,72
Race/Ethnicity/Nationality,Croatia,80,1,19
Race/Ethnicity/Nationality,Egypt,60,1,77
Race/Ethnicity/Nationality,Mauritania,60,1,81
Race/Ethnicity/Nationality,Bulgaria,60,0,89
Race/Ethnicity/Nationality,Cameroon,60,0,80
Race/Ethnicity/Nationality,Algeria,40,0,62
Race/Ethnicity/Nationality,South Africa,40,0,46
Race/Ethnicity/Nationality,Georgia,40,0,50
Race/Ethnicity/Nationality,Mexico,40,0,35
Race/Ethnicity/Nationality,Bangladesh,40,0,76
Race/Ethnicity/Nationality,Venezuela,40,0,62
Race/Ethnicity/Nationality,Israel,40,0,67
Race/Ethnicity/Nationality,Guinea,40,0,76
Race/Ethnicity/Nationality,United States of America,20,0,0
Race/Ethnicity/Nationality,Indonesia,20,0,54
Race/Ethnicity/Nationality,United Arab Emirates,20,0,76
Race/Ethnicity/Nationality,Kyrgyzstan,20,0,68
Race/Ethnicity/Nationality,Kenya,20,0,33
Race/Ethnicity/Nationality,Unknown ,20,0,96
Race/Ethnicity/Nationality,Nepal,20,0,95
Race/Ethnicity/Nationality,Angola,20,0,32
Race/Ethnicity/Nationality,Ivory Coast,20,0,53
Race/Ethnicity/Nationality,Kazakhstan,20,0,76
Race/Ethnicity/Nationality,Guatemala,20,0,73
Race/Ethnicity/Nationality,Zimbabwe,20,0,46
Race/Ethnicity/Nationality,"Myanmar, Burma",20,0,58
Race/Ethnicity/Nationality,Cuba,20,0,69
Race/Ethnicity/Nationality,Senegal,20,0,31
Race/Ethnicity/Nationality,Congo (Brazzaville),20,0,50
Race/Ethnicity/Nationality,Ghana,20,0,11
